location,uid,area,name,price,source
Девяткино,2854662641262109274,36.2,"36,2",5999000.0,yandex
Ленинградская область,7585241838866236746,29.1,"29,1",5633149.0,yandex
ЖК «Ермак»,7395967378468204825,67.8,"67,8",9527000.0,yandex
Проспект Большевиков,5620879435753364736,72.2,"72,2",8900000.0,yandex
Санкт-Петербург,5450772474256817910,24.8,"24,8",7815974.0,yandex
Ладожская,3990057947496471238,23.5,"23,5",2692000.0,yandex
Балтийская,4651605283523238183,59.9,"59,9",22374268.0,yandex
Садовая,8645327201810267890,25.0,25,7500000.0,yandex
Приморская,2677220041363374461,42.6,"42,6",15829999.0,yandex
Ладожская,5226794791995762011,72.0,72,9555000.0,yandex
Лиговский Проспект,2503608909905935901,106.7,"106,7",17700000.0,yandex
Площадь Александра Невского,5227699601080592478,126.0,126,95530992.0,yandex
Балтийская,2947118200300144791,51.6,"51,6",11199999.0,yandex
Василеостровская,5061792015282807776,92.4,"92,4",49267680.0,yandex
Пионерская,8645327201810267022,115.6,"115,6",25800000.0,yandex
Площадь Восстания,6171214620300510469,85.8,"85,8",55617704.0,yandex
Площадь Александра Невского,8645327201809559763,159.0,159,24500000.0,yandex
Московские ворота,4627064918836537051,26.8,"26,8",8450000.0,yandex
Площадь Александра Невского,8645327201809469396,128.0,128,22160000.0,yandex
Ладожская,8907624588957057263,92.2,"92,2",28312500.0,yandex
Чернышевская,8645327201809469339,110.0,110,18000000.0,yandex
Чёрная речка,5061791989492498826,84.8,"84,8",39499840.0,yandex
Парк Победы,4036803199423863444,45.2,"45,2",6900000.0,yandex
Проспект Просвещения,8645327201810272013,62.8,"62,8",7899000.0,yandex
Чёрная речка,5061792015262457640,62.1,"62,1",23078796.0,yandex
"Москва, Фрунзенская набережная, 30",306341798,222000000.0,2-комн. квартира,222000000.0,cian
"Москва, переулок Колокольников, 6С1",310332815,79999999.0,4-комн. квартира,79999999.0,cian
